feature,importance
Exterior_2nd_VinylSd_True,0.00051783305
Foundation_Wood_False,0.0005024499
Exterior_1st_HdBoard_True,0.0005020318
BsmtFin_Type_2_ALQ_False,0.0005002936
Bsmt_Cond_Good_False,0.00047963136
Overall_Cond_Very_Good_True,0.00046587252
Neighborhood_North_Ames_False,0.00045429778
Exterior_1st_HdBoard_False,0.00044599964
Fireplace_Qu_Excellent_True,0.00044380256
MS_Zoning_Residential_High_Density_False,0.0004277924
Functional_Maj1_False,0.0003981452
Exterior_1st_MetalSd_False,0.0003946921
Condition_1_Artery_False,0.0003939173
Exterior_2nd_Stucco_True,0.00039211314
Sale_Type_Oth_False,0.00038643667
MS_SubClass_Split_or_Multilevel_True,0.0003856405
MS_SubClass_Two_Story_PUD_1946_and_Newer_False,0.00038333208
Exterior_2nd_Wd Sdng_True,0.00037286052
Neighborhood_South_and_West_of_Iowa_State_University_True,0.00037166016
Neighborhood_South_and_West_of_Iowa_State_University_False,0.00036658003
Sale_Condition_Family_True,0.0003658859
Functional_Maj2_False,0.00036324852
Exterior_1st_CemntBd_False,0.00035785916
Exterior_2nd_HdBoard_False,0.00035140186
Exterior_2nd_Wd Sdng_False,0.00035015092
Exterior_2nd_MetalSd_True,0.00034994225
Condition_1_PosN_False,0.00034091328
Exterior_1st_Plywood_False,0.0003406699
Functional_Min2_False,0.00033989246
Garage_Type_Basment_False,0.00033818913
Foundation_PConc_False,0.0003355263
Roof_Matl_Tar&Grv_False,0.00032130905
Overall_Cond_Above_Average_False,0.00031624504
MS_SubClass_Split_Foyer_False,0.0003052793
Mo_Sold,0.0003050876
Bsmt_Qual_Good_True,0.00029921974
House_Style_Two_and_Half_Unf_False,0.0002939491
House_Style_One_Story_False,0.0002925799
Heating_GasW_False,0.000289661
Bsmt_Cond_Good_True,0.00028626824
MS_SubClass_Split_or_Multilevel_False,0.00028315154
Neighborhood_Gilbert_True,0.00028145986
MS_SubClass_One_and_Half_Story_Finished_All_Ages_False,0.000280448
Electrical_SBrkr_False,0.00027939136
Electrical_FuseA_False,0.00027901682
Garage_Qual_Excellent_False,0.00027759737
MS_SubClass_One_and_Half_Story_Finished_All_Ages_True,0.00027126996
Roof_Style_Hip_False,0.0002675431
Condition_1_PosA_False,0.00026746927
Exterior_1st_Wd Sdng_True,0.00026150275
Sale_Condition_Family_False,0.00025966755
Sale_Type_COD_True,0.0002594447
Enclosed_Porch,0.00025211152
BsmtFin_SF_2,0.0002518199
Misc_Val,0.000248253
Heating_GasA_True,0.0002472704
Electrical_FuseA_True,0.00024087184
Fireplace_Qu_Typical_False,0.00023518462
Condition_1_PosA_True,0.00023420608
Lot_Frontage,0.00023375572
House_Style_Two_Story_False,0.00023136345
Exterior_1st_BrkComm_False,0.00022819353
Fireplace_Qu_Poor_False,0.00022665485
Foundation_PConc_True,0.0002240139
Exterior_1st_Wd Sdng_False,0.00022315036
Electrical_FuseF_True,0.00022024778
Neighborhood_Northwest_Ames_True,0.0002163405
House_Style_Two_and_Half_Unf_True,0.00020984148
BsmtFin_Type_2_Rec_False,0.00020769668
Overall_Cond_Average_True,0.0002072556
Overall_Cond_Poor_True,0.00020334474
House_Style_One_and_Half_Fin_False,0.00020246918
BsmtFin_Type_1_Rec_False,0.0002018107
Fireplace_Qu_Fair_True,0.00019887622
Condition_1_RRNn_False,0.00019834339
Neighborhood_Northwest_Ames_False,0.00019649987
Neighborhood_Northridge_Heights_False,0.0001962391
Sale_Condition_Alloca_False,0.00019317985
Neighborhood_Sawyer_True,0.0001931314
Roof_Style_Flat_False,0.00019311368
Bsmt_Cond_Typical_False,0.00019179561
House_Style_SLvl_False,0.00019163151
Exterior_2nd_Wd Shng_False,0.00018811428
BsmtFin_Type_1_BLQ_False,0.00018784543
MS_SubClass_Two_and_Half_Story_All_Ages_True,0.00018500278
House_Style_One_and_Half_Fin_True,0.00018276376
Sale_Type_ConLI_False,0.00018072917
Neighborhood_Mitchell_False,0.00017796046
Sale_Type_Oth_True,0.00017596819
MS_SubClass_Two_Family_conversion_All_Styles_and_Ages_True,0.00017274565
BsmtFin_Type_1_ALQ_False,0.00017250366
Neighborhood_Edwards_True,0.00017138069
BsmtFin_Type_2_BLQ_False,0.00017091885
BsmtFin_Type_1_Unf_False,0.00016510868
Sale_Condition_AdjLand_False,0.00015800697
BsmtFin_Type_2_BLQ_True,0.00015714257
Exterior_2nd_Plywood_False,0.00015578771
Sale_Type_WD _True,0.0001524989
Exterior_2nd_VinylSd_False,0.00014953925
Neighborhood_Veenker_True,0.0001487968
Exterior_2nd_ImStucc_False,0.00014673569
BsmtFin_Type_2_Rec_True,0.00014649957
House_Style_One_Story_True,0.00014332707
Fireplace_Qu_Good_True,0.00013932106
Low_Qual_Fin_SF,0.0001376085
Electrical_FuseF_False,0.00013700781
Neighborhood_Timberland_False,0.0001355527
Foundation_BrkTil_False,0.00013363558
Garage_Type_More_Than_Two_Types_False,0.00013196061
BsmtFin_Type_1_BLQ_True,0.00013028948
Neighborhood_Sawyer_False,0.00012873659
Neighborhood_Greens_False,0.00012858734
Exterior_1st_AsphShn_False,0.00012807811
Functional_Sev_False,0.00012771886
MS_SubClass_Two_Story_1945_and_Older_True,0.00012006656
Three_season_porch,0.00011993161
Garage_Qual_Fair_False,0.00011969877
Overall_Qual_Very_Poor_False,0.00011851919
Exterior_2nd_CmentBd_False,0.00011463039
Bsmt_Qual_Fair_True,0.0001128603
Sale_Type_COD_False,0.0001114693
Roof_Matl_WdShake_False,0.00011107795
Bsmt_Cond_Fair_False,0.00011030747
Neighborhood_College_Creek_False,0.00010855025
House_Style_SFoyer_False,0.00010589581
Exterior_1st_MetalSd_True,0.000105743864
Garage_Type_CarPort_True,0.00010513401
House_Style_One_and_Half_Unf_True,0.000104737504
Condition_1_RRAn_False,0.00010440366
